Statistic,Annual,Local Government Districts,Components of Change,UNIT,VALUE
components-of-population-change-local-government-districts,2015-2016,belfast,starting-population,count,338907
components-of-population-change-local-government-districts,2015-2016,belfast,births,count,4563
components-of-population-change-local-government-districts,2015-2016,belfast,deaths,count,3086
components-of-population-change-local-government-districts,2015-2016,belfast,natural-change,count,1477
components-of-population-change-local-government-districts,2015-2016,belfast,internal-inflows,count,13007
components-of-population-change-local-government-districts,2015-2016,belfast,internal-outflows,count,13955
components-of-population-change-local-government-districts,2015-2016,belfast,internal-net,count,-948
components-of-population-change-local-government-districts,2015-2016,belfast,united-kingdom-inflows,count,2512
components-of-population-change-local-government-districts,2015-2016,belfast,united-kingdom-outflows,count,2547
components-of-population-change-local-government-districts,2015-2016,belfast,united-kingdom-net,count,-35
components-of-population-change-local-government-districts,2015-2016,belfast,rest-of-world-inflows,count,4253
components-of-population-change-local-government-districts,2015-2016,belfast,rest-of-world-outflows,count,4833
components-of-population-change-local-government-districts,2015-2016,belfast,rest-of-world-net,count,-580
components-of-population-change-local-government-districts,2015-2016,belfast,total-inflows,count,19772
components-of-population-change-local-government-districts,2015-2016,belfast,total-outflows,count,21335
components-of-population-change-local-government-districts,2015-2016,belfast,total-net,count,-1563
components-of-population-change-local-government-districts,2015-2016,belfast,other-changes,count,758
components-of-population-change-local-government-districts,2015-2016,belfast,migration-and-other-changes,count,-805
components-of-population-change-local-government-districts,2015-2016,belfast,end-population,count,339579
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,starting-population,count,143148
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,births,count,1672
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,deaths,count,1143
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,natural-change,count,529
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,internal-inflows,count,3806
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,internal-outflows,count,3870
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,internal-net,count,-64
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,united-kingdom-inflows,count,855
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,united-kingdom-outflows,count,809
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,united-kingdom-net,count,46
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,rest-of-world-inflows,count,650
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,rest-of-world-outflows,count,907
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,rest-of-world-net,count,-257
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,total-inflows,count,5311
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,total-outflows,count,5586
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,total-net,count,-275
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,other-changes,count,123
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,migration-and-other-changes,count,-152
components-of-population-change-local-government-districts,2015-2016,causeway-coast-and-glens,end-population,count,143525
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,starting-population,count,149473
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,births,count,2071
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,deaths,count,1137
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,natural-change,count,934
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,internal-inflows,count,2529
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,internal-outflows,count,2940
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,internal-net,count,-411
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,united-kingdom-inflows,count,809
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,united-kingdom-outflows,count,902
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,united-kingdom-net,count,-93
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,rest-of-world-inflows,count,618
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,rest-of-world-outflows,count,693
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,rest-of-world-net,count,-75
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,total-inflows,count,3956
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,total-outflows,count,4535
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,total-net,count,-579
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,other-changes,count,314
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,migration-and-other-changes,count,-265
components-of-population-change-local-government-districts,2015-2016,derry-city-and-strabane,end-population,count,150142
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,starting-population,count,115311
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,births,count,1518
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,deaths,count,957
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,natural-change,count,561
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,internal-inflows,count,2008
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,internal-outflows,count,2106
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,internal-net,count,-98
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,united-kingdom-inflows,count,750
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,united-kingdom-outflows,count,695
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,united-kingdom-net,count,55
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,rest-of-world-inflows,count,688
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,rest-of-world-outflows,count,564
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,rest-of-world-net,count,124
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,total-inflows,count,3446
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,total-outflows,count,3365
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,total-net,count,81
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,other-changes,count,-154
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,migration-and-other-changes,count,-73
components-of-population-change-local-government-districts,2015-2016,fermanagh-and-omagh,end-population,count,115799
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,starting-population,count,140205
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,births,count,1719
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,deaths,count,1116
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,natural-change,count,603
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,internal-inflows,count,5066
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,internal-outflows,count,4211
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,internal-net,count,855
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,united-kingdom-inflows,count,847
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,united-kingdom-outflows,count,961
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,united-kingdom-net,count,-114
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,rest-of-world-inflows,count,454
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,rest-of-world-outflows,count,687
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,rest-of-world-net,count,-233
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,total-inflows,count,6367
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,total-outflows,count,5859
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,total-net,count,508
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,other-changes,count,-135
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,migration-and-other-changes,count,373
components-of-population-change-local-government-districts,2015-2016,lisburn-and-castlereagh,end-population,count,141181
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,starting-population,count,137145
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,births,count,1538
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,deaths,count,1280
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,natural-change,count,258
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,internal-inflows,count,2822
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,internal-outflows,count,2780
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,internal-net,count,42
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,united-kingdom-inflows,count,737
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,united-kingdom-outflows,count,735
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,united-kingdom-net,count,2
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,rest-of-world-inflows,count,948
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,rest-of-world-outflows,count,396
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,rest-of-world-net,count,552
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,total-inflows,count,4507
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,total-outflows,count,3911
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,total-net,count,596
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,other-changes,count,-178
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,migration-and-other-changes,count,418
components-of-population-change-local-government-districts,2015-2016,mid-and-east-antrim,end-population,count,137821
components-of-population-change-local-government-districts,2015-2016,mid-ulster,starting-population,count,144002
components-of-population-change-local-government-districts,2015-2016,mid-ulster,births,count,2172
components-of-population-change-local-government-districts,2015-2016,mid-ulster,deaths,count,1001
components-of-population-change-local-government-districts,2015-2016,mid-ulster,natural-change,count,1171
components-of-population-change-local-government-districts,2015-2016,mid-ulster,internal-inflows,count,2845
components-of-population-change-local-government-districts,2015-2016,mid-ulster,internal-outflows,count,2999
components-of-population-change-local-government-districts,2015-2016,mid-ulster,internal-net,count,-154
components-of-population-change-local-government-districts,2015-2016,mid-ulster,united-kingdom-inflows,count,566
components-of-population-change-local-government-districts,2015-2016,mid-ulster,united-kingdom-outflows,count,486
components-of-population-change-local-government-districts,2015-2016,mid-ulster,united-kingdom-net,count,80
components-of-population-change-local-government-districts,2015-2016,mid-ulster,rest-of-world-inflows,count,1200
components-of-population-change-local-government-districts,2015-2016,mid-ulster,rest-of-world-outflows,count,592
components-of-population-change-local-government-districts,2015-2016,mid-ulster,rest-of-world-net,count,608
components-of-population-change-local-government-districts,2015-2016,mid-ulster,total-inflows,count,4611
components-of-population-change-local-government-districts,2015-2016,mid-ulster,total-outflows,count,4077
components-of-population-change-local-government-districts,2015-2016,mid-ulster,total-net,count,534
components-of-population-change-local-government-districts,2015-2016,mid-ulster,other-changes,count,-318
components-of-population-change-local-government-districts,2015-2016,mid-ulster,migration-and-other-changes,count,216
components-of-population-change-local-government-districts,2015-2016,mid-ulster,end-population,count,145389
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,starting-population,count,176369
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,births,count,2565
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,deaths,count,1335
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,natural-change,count,1230
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,internal-inflows,count,3379
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,internal-outflows,count,3455
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,internal-net,count,-76
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,united-kingdom-inflows,count,926
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,united-kingdom-outflows,count,892
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,united-kingdom-net,count,34
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,rest-of-world-inflows,count,1178
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,rest-of-world-outflows,count,780
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,rest-of-world-net,count,398
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,total-inflows,count,5483
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,total-outflows,count,5127
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,total-net,count,356
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,other-changes,count,-139
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,migration-and-other-changes,count,217
components-of-population-change-local-government-districts,2015-2016,newry-mourne-and-down,end-population,count,177816
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,starting-population,count,158797
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,births,count,1754
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,deaths,count,1540
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,natural-change,count,214
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,internal-inflows,count,3064
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,internal-outflows,count,2471
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,internal-net,count,593
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,united-kingdom-inflows,count,1213
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,united-kingdom-outflows,count,1176
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,united-kingdom-net,count,37
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,rest-of-world-inflows,count,501
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,rest-of-world-outflows,count,455
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,rest-of-world-net,count,46
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,total-inflows,count,4778
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,total-outflows,count,4102
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,total-net,count,676
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,other-changes,count,-94
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,migration-and-other-changes,count,582
components-of-population-change-local-government-districts,2015-2016,ards-and-north-down,end-population,count,159593
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,starting-population,count,141032
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,births,count,1683
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,deaths,count,1166
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,natural-change,count,517
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,internal-inflows,count,4083
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,internal-outflows,count,3774
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,internal-net,count,309
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,united-kingdom-inflows,count,639
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,united-kingdom-outflows,count,662
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,united-kingdom-net,count,-23
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,rest-of-world-inflows,count,557
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,rest-of-world-outflows,count,663
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,rest-of-world-net,count,-106
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,total-inflows,count,5279
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,total-outflows,count,5099
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,total-net,count,180
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,other-changes,count,-32
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,migration-and-other-changes,count,148
components-of-population-change-local-government-districts,2016-2017,antrim-and-newtownabbey,end-population,count,141697
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,starting-population,count,210260
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,births,count,2895
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,deaths,count,1598
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,natural-change,count,1297
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,internal-inflows,count,4053
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,internal-outflows,count,4149
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,internal-net,count,-96
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,united-kingdom-inflows,count,959
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,united-kingdom-outflows,count,882
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,united-kingdom-net,count,77
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,rest-of-world-inflows,count,1442
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,rest-of-world-outflows,count,737
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,rest-of-world-net,count,705
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,total-inflows,count,6454
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,total-outflows,count,5768
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,total-net,count,686
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,other-changes,count,-345
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,migration-and-other-changes,count,341
components-of-population-change-local-government-districts,2016-2017,armagh-city-banbridge-and-craigavon,end-population,count,211898
components-of-population-change-local-government-districts,2016-2017,belfast,starting-population,count,339579
components-of-population-change-local-government-districts,2016-2017,belfast,births,count,4470
components-of-population-change-local-government-districts,2016-2017,belfast,deaths,count,3193
components-of-population-change-local-government-districts,2016-2017,belfast,natural-change,count,1277
components-of-population-change-local-government-districts,2016-2017,belfast,internal-inflows,count,12796
components-of-population-change-local-government-districts,2016-2017,belfast,internal-outflows,count,14231
components-of-population-change-local-government-districts,2016-2017,belfast,internal-net,count,-1435
components-of-population-change-local-government-districts,2016-2017,belfast,united-kingdom-inflows,count,2628
components-of-population-change-local-government-districts,2016-2017,belfast,united-kingdom-outflows,count,2288
components-of-population-change-local-government-districts,2016-2017,belfast,united-kingdom-net,count,340
components-of-population-change-local-government-districts,2016-2017,belfast,rest-of-world-inflows,count,4254
components-of-population-change-local-government-districts,2016-2017,belfast,rest-of-world-outflows,count,4813
components-of-population-change-local-government-districts,2016-2017,belfast,rest-of-world-net,count,-559
components-of-population-change-local-government-districts,2016-2017,belfast,total-inflows,count,19678
components-of-population-change-local-government-districts,2016-2017,belfast,total-outflows,count,21332
components-of-population-change-local-government-districts,2016-2017,belfast,total-net,count,-1654
components-of-population-change-local-government-districts,2016-2017,belfast,other-changes,count,1018
components-of-population-change-local-government-districts,2016-2017,belfast,migration-and-other-changes,count,-636
components-of-population-change-local-government-districts,2016-2017,belfast,end-population,count,340220
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,starting-population,count,143525
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,births,count,1624
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,deaths,count,1242
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,natural-change,count,382
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,internal-inflows,count,3848
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,internal-outflows,count,3933
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,internal-net,count,-85
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,united-kingdom-inflows,count,834
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,united-kingdom-outflows,count,793
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,united-kingdom-net,count,41
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,rest-of-world-inflows,count,510
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,rest-of-world-outflows,count,678
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,rest-of-world-net,count,-168
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,total-inflows,count,5192
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,total-outflows,count,5404
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,total-net,count,-212
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,other-changes,count,225
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,migration-and-other-changes,count,13
components-of-population-change-local-government-districts,2016-2017,causeway-coast-and-glens,end-population,count,143920
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,starting-population,count,150142
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,births,count,1947
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,deaths,count,1201
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,natural-change,count,746
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,internal-inflows,count,2776
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,internal-outflows,count,3121
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,internal-net,count,-345
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,united-kingdom-inflows,count,880
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,united-kingdom-outflows,count,881
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,united-kingdom-net,count,-1
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,rest-of-world-inflows,count,468
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,rest-of-world-outflows,count,655
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,rest-of-world-net,count,-187
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,total-inflows,count,4124
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,total-outflows,count,4657
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,total-net,count,-533
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,other-changes,count,142
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,migration-and-other-changes,count,-391
components-of-population-change-local-government-districts,2016-2017,derry-city-and-strabane,end-population,count,150497
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,starting-population,count,115799
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,births,count,1487
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,deaths,count,976
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,natural-change,count,511
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,internal-inflows,count,2503
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,internal-outflows,count,2723
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,internal-net,count,-220
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,united-kingdom-inflows,count,734
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,united-kingdom-outflows,count,591
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,united-kingdom-net,count,143
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,rest-of-world-inflows,count,565
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,rest-of-world-outflows,count,452
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,rest-of-world-net,count,113
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,total-inflows,count,3802
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,total-outflows,count,3766
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,total-net,count,36
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,other-changes,count,-57
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,migration-and-other-changes,count,-21
components-of-population-change-local-government-districts,2016-2017,fermanagh-and-omagh,end-population,count,116289
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,starting-population,count,141181
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,births,count,1728
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,deaths,count,1218
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,natural-change,count,510
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,internal-inflows,count,5207
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,internal-outflows,count,4110
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,internal-net,count,1097
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,united-kingdom-inflows,count,823
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,united-kingdom-outflows,count,853
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,united-kingdom-net,count,-30
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,rest-of-world-inflows,count,458
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,rest-of-world-outflows,count,436
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,rest-of-world-net,count,22
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,total-inflows,count,6488
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,total-outflows,count,5399
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,total-net,count,1089
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,other-changes,count,-140
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,migration-and-other-changes,count,949
components-of-population-change-local-government-districts,2016-2017,lisburn-and-castlereagh,end-population,count,142640
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,starting-population,count,137821
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,births,count,1570
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,deaths,count,1288
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,natural-change,count,282
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,internal-inflows,count,2913
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,internal-outflows,count,2697
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,internal-net,count,216
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,united-kingdom-inflows,count,649
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,united-kingdom-outflows,count,693
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,united-kingdom-net,count,-44
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,rest-of-world-inflows,count,610
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,rest-of-world-outflows,count,669
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,rest-of-world-net,count,-59
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,total-inflows,count,4172
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,total-outflows,count,4059
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,total-net,count,113
components-of-population-change-local-government-districts,2016-2017,mid-and-east-antrim,other-changes,count,-64
